case,method,avg_speed_kmh,max_speed_kmh,avg_moving_speed_kmh,idle_fraction,avg_accel_ms2,max_accel_ms2,avg_decel_ms2,max_decel_ms2,speed_std_kmh,total_distance_km,duration_s,energy_proxy_kwh_per_100km
Urban short commute,EVCycle,10.533889705475339,43.66,23.8154083401068,0.5576859504132231,1.3247139572721351,4.295508573785598,-1.3182806902504602,-4.282425268620592,14.6121384481204,8.851393433073023,3024.0,33.24460440404265
Urban short commute,speed_state_control,25.240000000001558,119.88,52.69336128581741,0.35305785123966943,9.609255892757648,33.3,-9.96081403517561,-33.3,30.269999999973308,21.20861111111255,3024.0,399.42468928626585
Urban short commute,stop_cruise_control,25.399999999994794,62.02,34.988615664838015,0.2740495867768595,5.8223437954985195,17.227777777777778,-5.853479323816693,-16.842129450324073,20.580000000146438,21.343055555551178,3024.0,93.675986054194
Urban short commute,perturbed_profile_control,25.399999999008806,88.44,37.193698495880575,0.29884297520661157,3.6384857401926283,18.646067416740415,-3.7705743850710576,-18.646067416740415,22.960000045116,21.343055554722675,3024.0,130.47056143095443
Suburban medium-distance trip,EVCycle,41.69226446838724,64.35,54.48328929558178,0.23476968796433878,1.6360086305996566,3.932085034130383,-1.5625552529873292,-3.8147244304283348,27.851039265607444,15.588274437347009,1345.0,16.8345019487887
Suburban medium-distance trip,speed_state_control,55.74000000006548,119.88,92.1695823096906,0.3952451708766716,19.568379024096046,33.3,-19.994808591207093,-33.3,53.76999999706388,20.8405666666911,1345.0,594.2153459479665
Suburban medium-distance trip,stop_cruise_control,56.70999999999887,119.88,70.1478492647045,0.18722139673105498,9.749347040623164,29.980010454791397,-10.039506178736948,-29.980010454791397,40.6200000000003,21.20323888888839,1345.0,100.21854808893536
Suburban medium-distance trip,perturbed_profile_control,57.679999999878795,119.88,78.97993896219413,0.26968796433878156,6.951752406522864,33.3,-7.096320705653912,-33.3,42.720000004200166,21.565911111065763,1345.0,210.6001630987071
Long highway trip,EVCycle,59.011439166053606,93.51,82.5675816423369,0.2852952939608052,3.3893273783669704,5.796548955262217,-3.536001397583316,-5.798278516954046,40.46532435579065,122.95689032905013,7500.0,27.40483195010208
Long highway trip,speed_state_control,74.74717037398554,119.88,116.41995950483087,0.3579522730302626,25.544771788374483,33.3,-25.73550608439434,-33.3,56.00550091206255,155.7440347153412,7500.0,512.9939299836007
Long highway trip,stop_cruise_control,82.44000000007104,119.88,104.6908419448641,0.18397546993734168,12.72651465664575,33.3,-12.853620920382538,-33.3,49.009999999384874,171.77290000014338,7500.0,99.88642150625573
Long highway trip,perturbed_profile_control,80.49000000038761,119.88,115.97300998903332,0.30595920543927474,26.894021690082216,33.3,-26.29477578546409,-33.3,54.999999913321815,167.70985833413286,7500.0,300.0253572351415
Night-time urban delivery,EVCycle,45.714506156138114,69.16,55.741872523345,0.17988929889298894,0.6682737869752948,3.9176085116495125,-0.521984611869982,-3.95169239739225,26.22549154389466,13.76514574257047,1083.0,14.554135442908718
Night-time urban delivery,speed_state_control,56.78999999999864,119.88,88.19535816618702,0.35608856088560886,19.48417505233671,33.3,-19.064515897363304,-33.3,52.07999999996817,17.100099999999525,1083.0,530.594064209707
Night-time urban delivery,stop_cruise_control,58.62999999999975,119.88,73.89269767441832,0.2029520295202952,6.002788350086844,33.3,-6.1132691172663565,-33.3,42.729999999999706,17.654144444444295,1083.0,72.94033449973757
Night-time urban delivery,perturbed_profile_control,57.81999999999067,119.88,83.56917333331984,0.3081180811808118,8.100269392694642,33.3,-7.9959022364917836,-33.3,45.81000000008561,17.410244444441574,1083.0,230.63186055190508
Weekend suburban trip,EVCycle,41.70025138626813,64.63,56.79709610126851,0.26580310880829017,2.25086888262138,5.635992589604953,-2.261786910482026,-5.5101793384342255,28.574924279171817,22.355968104304736,1929.0,18.383005840559598
Weekend suburban trip,speed_state_control,58.05000000001414,119.88,87.05244755246873,0.333160621761658,18.785499688464164,33.3,-19.105525236819602,-33.3,51.92999999846666,31.121250000007734,1929.0,529.3665800313604
Weekend suburban trip,stop_cruise_control,57.740000000417226,119.88,75.13526635253218,0.22797927461139897,8.782661114567286,33.3,-8.627490423497195,-33.3,44.37999998190286,30.955055555779428,1929.0,104.03152489197036
Weekend suburban trip,perturbed_profile_control,59.94000000000056,119.88,82.4548823948689,0.27305699481865287,6.056875282250327,33.3,-5.787328799538725,-33.3,43.75000000000066,32.13450000000023,1929.0,165.13924877340457
